2000 2000 20 0
1702 1958 29 20 1
856 646 36 20 1
886 1220 34 20 1
1707 226 23 20 1
1904 148 24 20 1
175 1875 29 20 1
212 819 22 20 1
1281 828 22 20 1
1107 1648 27 20 1
330 271 26 20 1
1255 1352 38 20 1
1829 1393 38 20 1
241 821 32 20 1
1517 1816 36 20 1
621 821 36 20 1
1743 323 29 20 1
779 599 26 20 1
970 1666 27 20 1
1819 678 33 20 1
1892 1724 32 20 1
827 68 25 20 1
1599 1040 23 20 1
887 880 21 20 1
1868 1994 22 20 1
528 199 32 20 1
266 1784 27 20 1
1552 96 25 20 1
1177 1794 26 20 1
917 695 21 20 1
1610 1539 28 20 1
1517 1353 38 20 1
1863 297 31 20 1
1952 833 25 20 1
1963 1772 33 20 1
1511 1856 35 20 1
1496 338 29 20 1
1924 1096 23 20 1
1378 811 37 20 1
1977 1247 32 20 1
806 506 30 20 1
1447 1073 24 20 1
290 999 31 20 1
1169 1467 28 20 1
793 86 36 20 1
163 403 27 20 1
1625 1680 24 20 1
1757 1488 26 20 1
1977 1710 34 20 1
321 1941 32 20 1
1482 1833 39 20 1
1797 978 26 20 1
171 1721 37 20 1
74 1550 22 20 1
533 51 28 20 1
797 1339 20 20 1
557 244 35 20 1
412 847 35 20 1
1243 1581 25 20 1
315 37 22 20 1
1668 479 37 20 1
441 1294 34 20 1
160 198 20 20 1
782 138 28 20 1
1908 1104 39 20 1
79 1391 34 20 1
938 1876 24 20 1
369 1109 29 20 1
1598 444 37 20 1
659 131 21 20 1
496 1457 21 20 1
1471 1053 27 20 1
1701 1884 26 20 1
1901 945 33 20 1
1466 217 36 20 1
983 1134 22 20 1
697 1424 21 20 1
428 857 21 20 1
1623 1211 29 20 1
995 1531 35 20 1
316 1075 33 20 1
922 1254 28 20 1
952 1292 22 20 1
364 550 31 20 1
1736 1024 31 20 1
682 233 30 20 1
481 154 31 20 1
1286 182 27 20 1
38 1188 26 20 1
1128 1504 37 20 1
1406 111 29 20 1
639 103 23 20 1
1536 1068 32 20 1
960 1159 30 20 1
280 1956 32 20 1
691 596 31 20 1
1031 1613 24 20 1
1850 1983 36 20 1
906 215 21 20 1
534 643 21 20 1
1239 1217 38 20 1
876 1720 23 20 1
1371 163 29 20 1
1903 1409 24 20 1
1351 1031 36 20 1
914 758 25 20 1
1143 1553 27 20 1
861 679 37 20 1
622 1822 26 20 1
1838 902 36 20 1
1778 529 33 20 1
1498 810 20 20 1
143 1349 25 20 1
793 1049 35 20 1
1565 1328 32 20 1
1693 804 36 20 1
545 569 26 20 1
524 1916 24 20 1
733 427 23 20 1
1326 84 32 20 1
1459 240 22 20 1
842 602 33 20 1
1794 1704 35 20 1
1282 416 34 20 1
1526 1120 24 20 1
1318 1304 28 20 1
1649 817 26 20 1
114 1792 28 20 1
167 908 24 20 1
842 1732 27 20 1
237 536 30 20 1
536 782 23 20 1
1105 1061 31 20 1
699 1838 20 20 1
1489 25 27 20 1
1923 949 27 20 1
266 766 26 20 1
1552 60 34 20 1
470 834 25 20 1
476 1997 32 20 1
1954 1795 31 20 1
1301 1604 38 20 1
613 1416 33 20 1
1397 781 36 20 1
325 239 33 20 1
513 563 26 20 1
775 1050 32 20 1
1346 1881 20 20 1
112 45 30 20 1
1720 1602 36 20 1
71 1644 32 20 1
551 337 32 20 1
410 103 30 20 1
397 881 28 20 1
937 874 27 20 1
878 892 34 20 1
670 180 36 20 1
496 1284 33 20 1
1597 1893 23 20 1
65 1923 20 20 1
133 579 21 20 1
486 909 33 20 1
1629 1832 23 20 1
791 1742 32 20 1
1878 511 34 20 1
1344 1950 31 20 1
155 1895 20 20 1
287 566 20 20 1
1999 685 26 20 1
1448 936 25 20 1
1560 327 33 20 1
1829 230 37 20 1
507 325 23 20 1
1514 104 26 20 1
218 1580 33 20 1
28 352 37 20 1
159 514 33 20 1
1261 1789 26 20 1
347 52 37 20 1
1531 225 23 20 1
564 875 23 20 1
176 719 30 20 1
771 463 36 20 1
1286 770 33 20 1
1149 735 38 20 1
1707 709 23 20 1
1062 1536 27 20 1
940 1569 34 20 1
1862 455 37 20 1
1674 80 30 20 1
35 1703 34 20 1
432 194 38 20 1
217 1694 24 20 1
1984 565 38 20 1
1746 1515 31 20 1
791 310 38 20 1
390 967 29 20 1
1030 1162 31 20 1
1430 317 38 20 1
1933 580 35 20 1
1052 1640 36 20 1
1289 114 31 20 1
1177 230 33 20 1
1684 1039 39 20 1
685 1359 38 20 1
1120 721 26 20 1
1062 1553 37 20 1
916 1279 31 20 1
1247 900 32 20 1
1845 993 35 20 1
415 636 35 20 1
1304 806 35 20 1
1603 334 25 20 1
1968 1034 32 20 1
651 1901 29 20 1
1614 1704 23 20 1
1542 903 35 20 1
1818 720 37 20 1
1133 1503 37 20 1
1760 1819 33 20 1
862 880 28 20 1
540 1924 32 20 1
433 1456 31 20 1
1204 1680 32 20 1
356 1049 30 20 1
674 772 22 20 1
1685 1978 31 20 1
1578 1288 20 20 1
313 1547 34 20 1
322 964 30 20 1
1449 1937 36 20 1
668 991 30 20 1
840 487 22 20 1
1712 1974 29 20 1
1990 1472 30 20 1
1793 852 20 20 1
352 334 36 20 1
777 786 27 20 1
1790 1982 32 20 1
467 147 29 20 1
1031 1141 22 20 1
919 717 28 20 1
1120 497 24 20 1
6 1433 28 20 1
45 329 20 20 1
397 1494 34 20 1
266 1066 31 20 1
486 1107 36 20 1
1554 198 31 20 1
1082 1544 28 20 1
1670 876 29 20 1
397 23 39 20 1
1210 1175 21 20 1
809 1001 21 20 1
1157 1277 32 20 1
1148 189 31 20 1
418 68 24 20 1
907 1538 24 20 1
566 913 32 20 1
971 611 38 20 1
1243 1369 34 20 1
105 1510 29 20 1
436 592 28 20 1
617 1990 37 20 1
790 1699 39 20 1
1535 461 38 20 1
575 1933 37 20 1
484 1786 35 20 1
1108 1294 26 20 1
787 266 30 20 1
571 1936 24 20 1
455 990 29 20 1
4 1363 38 20 1
529 571 29 20 1
277 1500 37 20 1
1182 1520 39 20 1
870 1288 23 20 1
1030 1306 29 20 1
1880 1648 35 20 1
1297 671 35 20 1
1347 832 38 20 1
1132 1923 25 20 1
765 1617 35 20 1
1709 1873 39 20 1
912 497 26 20 1
139 1484 28 20 1
433 595 31 20 1
474 438 31 20 1
1959 1003 32 20 1
1009 236 23 20 1
504 192 29 20 1
1756 1374 27 20 1
1480 787 33 20 1
681 1361 38 20 1
435 1978 24 20 1
32 1783 32 20 1
810 1164 37 20 1
1707 1575 22 20 1
782 1417 27 20 1
1449 1694 23 20 1
1914 1589 32 20 1
1178 348 31 20 1
185 1653 33 20 1
787 144 31 20 1
657 1796 21 20 1
380 1161 31 20 1
1989 137 31 20 1
536 1470 24 20 1
924 1217 20 20 1
831 1360 26 20 1
1196 863 20 20 1
1144 6 38 20 1
28 851 32 20 1
1582 811 35 20 1
268 1032 37 20 1
505 183 38 20 1
621 1684 23 20 1
532 806 28 20 1
1338 1319 29 20 1
951 1995 35 20 1
1116 1331 32 20 1
1156 1105 39 20 1
1469 1693 23 20 1
575 394 25 20 1
911 1407 37 20 1
1754 107 27 20 1
271 899 37 20 1
113 299 34 20 1
1750 1696 29 20 1
1111 19 25 20 1
728 1616 38 20 1
203 1349 22 20 1
1301 736 37 20 1
156 639 32 20 1
55 1108 34 20 1
634 1172 38 20 1
440 1791 23 20 1
278 1909 25 20 1
1485 854 23 20 1
303 396 24 20 1
261 58 32 20 1
503 532 23 20 1
958 617 22 20 1
832 708 24 20 1
313 1943 38 20 1
728 1041 20 20 1
1560 932 23 20 1
391 861 22 20 1
1668 548 29 20 1
1501 1724 32 20 1
1656 136 38 20 1
896 96 22 20 1
1928 1174 32 20 1
6 1413 21 20 1
28 309 27 20 1
1809 290 29 20 1
368 312 28 20 1
822 1326 25 20 1
929 1655 24 20 1
35 1242 38 20 1
1598 764 31 20 1
284 1159 23 20 1
1696 676 20 20 1
21 1365 28 20 1
1224 1522 36 20 1
1089 881 35 20 1
1658 1986 27 20 1
978 1586 39 20 1
1160 984 20 20 1
999 1189 30 20 1
1294 809 24 20 1
1479 1662 33 20 1
1121 302 33 20 1
989 51 26 20 1
1957 1024 37 20 1
1294 1556 32 20 1
1789 1578 26 20 1
715 1486 21 20 1
255 736 35 20 1
851 1480 36 20 1
258 1941 33 20 1
361 1917 33 20 1
1927 1339 38 20 1
1504 1088 26 20 1
323 503 35 20 1
277 1618 25 20 1
1312 1757 36 20 1
1280 434 23 20 1
59 270 31 20 1
485 17 21 20 1
1294 1780 22 20 1
1573 1084 23 20 1
1359 289 24 20 1
570 1614 22 20 1
1025 1422 31 20 1
1094 1284 21 20 1
1363 1455 37 20 1
1202 1291 38 20 1
795 706 21 20 1
379 1119 38 20 1
1210 657 29 20 1
737 523 25 20 1
414 18 31 20 1
957 474 23 20 1
288 1443 31 20 1
491 1583 29 20 1
1224 64 36 20 1
667 583 38 20 1
353 1237 30 20 1
197 1379 31 20 1
659 1291 34 20 1
664 23 24 20 1
747 1866 25 20 1
1314 1542 32 20 1
572 1693 30 20 1
662 1783 20 20 1
351 1399 38 20 1
306 765 26 20 1
1417 1264 24 20 1
1239 1705 30 20 1
708 1730 28 20 1
1288 1932 26 20 1
1795 1956 33 20 1
515 149 32 20 1
1193 712 28 20 1
1528 1853 25 20 1
4 192 34 20 1
1876 751 26 20 1
59 1191 24 20 1
294 632 35 20 1
885 956 25 20 1
415 1236 33 20 1
356 721 20 20 1
1 1773 36 20 1
1986 1241 37 20 1
1479 694 32 20 1
972 768 26 20 1
627 767 33 20 1
724 1142 30 20 1
916 1918 36 20 1
1855 445 25 20 1
1771 1860 25 20 1
638 1648 21 20 1
612 698 30 20 1
839 906 37 20 1
1330 1724 32 20 1
1863 1745 30 20 1
961 219 36 20 1
467 963 39 20 1
1993 453 34 20 1
204 1472 26 20 1
1148 1176 27 20 1
241 1775 20 20 1
1944 965 20 20 1
918 861 20 20 1
883 773 29 20 1
1306 655 25 20 1
634 1945 34 20 1
303 1246 36 20 1
643 1142 30 20 1
152 1973 29 20 1
867 15 21 20 1
1719 1828 23 20 1
235 187 29 20 1
792 228 38 20 1
641 996 20 20 1
1701 1789 21 20 1
173 1942 24 20 1
1565 117 34 20 1
908 483 32 20 1
979 1791 21 20 1
1257 286 39 20 1
446 1891 37 20 1
231 749 23 20 1
1137 875 29 20 1
1892 1289 35 20 1
849 760 35 20 1
1305 568 20 20 1
589 1541 31 20 1
755 1381 34 20 1
1769 1396 34 20 1
378 1471 38 20 1
1186 551 21 20 1
1413 751 35 20 1
669 321 38 20 1
1235 1648 22 20 1
113 492 25 20 1
1934 559 24 20 1
383 166 36 20 1
1309 1521 21 20 1
1041 1202 34 20 1
811 1890 25 20 1
1963 116 23 20 1
459 552 38 20 1
1658 1215 35 20 1
1934 1427 21 20 1
611 312 39 20 1
898 1798 36 20 1
864 312 26 20 1
550 1534 33 20 1
633 1785 29 20 1
1182 747 28 20 1
277 1117 33 20 1
1306 661 26 20 1
1284 616 32 20 1
182 326 22 20 1
1819 993 21 20 1
216 1782 27 20 1
1110 676 22 20 1
335 768 33 20 1
1891 269 22 20 1
196 503 37 20 1
582 1095 31 20 1
301 1446 24 20 1
1407 851 33 20 1
980 41 30 20 1
637 163 26 20 1
789 914 38 20 1
1281 95 35 20 1
1576 565 22 20 1
712 1758 20 20 1
891 532 30 20 1
752 1108 27 20 1
314 1862 24 20 1
1784 649 29 20 1
631 1676 23 20 1
919 828 26 20 1
179 1501 28 20 1
1923 480 20 20 1
947 1331 32 20 1
1332 1928 22 20 1
1373 1969 29 20 1
91 162 21 20 1
884 1373 35 20 1
258 461 35 20 1
1939 971 33 20 1
219 831 38 20 1
1503 972 37 20 1
1939 1817 21 20 1
835 1724 20 20 1
467 1466 30 20 1
1400 1387 23 20 1
294 1580 38 20 1
888 218 22 20 1
61 1836 27 20 1
1549 1393 31 20 1
1765 922 32 20 1
1363 1857 34 20 1
1085 248 30 20 1
1230 1343 28 20 1
709 1169 36 20 1
314 929 31 20 1
0 1817 38 20 1
1901 1940 24 20 1
1635 737 35 20 1
1665 103 27 20 1
203 1066 27 20 1
1490 498 21 20 1
646 379 36 20 1
716 707 27 20 1
215 266 34 20 1
101 1980 38 20 1
1189 1464 36 20 1
1838 274 36 20 1
1713 1068 34 20 1
1618 423 32 20 1
238 1932 30 20 1
1352 239 32 20 1
1750 1254 30 20 1
179 1386 31 20 1
1991 1845 33 20 1
1489 195 20 20 1
911 979 35 20 1
693 1557 31 20 1
1358 1410 22 20 1
264 1574 22 20 1
1676 365 23 20 1
1555 865 35 20 1
1830 1393 36 20 1
1140 1543 34 20 1
461 758 23 20 1
1966 700 33 20 1
691 1319 26 20 1
939 442 22 20 1
573 1118 37 20 1
1828 565 22 20 1
964 1317 29 20 1
760 1875 25 20 1
296 1454 23 20 1
1432 1655 25 20 1
864 1697 33 20 1
1229 541 38 20 1
63 784 24 20 1
1407 1893 30 20 1
177 547 35 20 1
1437 639 38 20 1
1306 1404 22 20 1
1339 1998 25 20 1
723 278 31 20 1
440 1297 32 20 1
1397 268 37 20 1
1862 362 24 20 1
1585 623 33 20 1
237 1882 32 20 1
78 1670 36 20 1
1537 942 36 20 1
1367 767 35 20 1
1484 1430 20 20 1
1551 891 31 20 1
1324 1729 32 20 1
1439 761 35 20 1
369 746 35 20 1
165 1709 25 20 1
744 889 21 20 1
1988 1184 37 20 1
186 1386 23 20 1
1452 49 23 20 1
1748 1037 27 20 1
673 1985 28 20 1
919 751 27 20 1
1656 457 32 20 1
1694 1023 22 20 1
1224 1178 26 20 1
454 776 37 20 1
70 1779 32 20 1
505 1509 22 20 1
541 874 36 20 1
255 707 34 20 1
584 999 27 20 1
1596 572 27 20 1
183 1783 27 20 1
1958 1636 25 20 1
1832 1706 31 20 1
673 506 21 20 1
1692 1593 38 20 1
1257 1348 28 20 1
50 952 37 20 1
372 1275 33 20 1
130 827 29 20 1
51 200 29 20 1
606 556 25 20 1
1710 1147 24 20 1
1431 1965 24 20 1
1854 15 31 20 1
965 1451 26 20 1
588 1149 22 20 1
1234 546 34 20 1
785 1067 29 20 1
252 1459 29 20 1
1573 1944 23 20 1
1052 831 37 20 1
1292 1103 22 20 1
1783 1664 25 20 1
378 1914 23 20 1
491 429 20 20 1
114 1098 38 20 1
986 1824 25 20 1
246 418 36 20 1
1790 100 33 20 1
434 756 33 20 1
1552 1022 23 20 1
1905 786 20 20 1
1569 690 39 20 1
1853 1821 35 20 1
149 1427 22 20 1
1766 1202 37 20 1
258 1059 24 20 1
305 42 39 20 1
723 684 30 20 1
1956 1215 33 20 1
1114 70 29 20 1
314 101 36 20 1
1895 560 37 20 1
519 1686 34 20 1
661 954 28 20 1
442 213 23 20 1
1977 348 36 20 1
999 1546 23 20 1
1038 853 33 20 1
1367 1188 26 20 1
280 1134 26 20 1
390 539 30 20 1
193 696 29 20 1
581 917 32 20 1
1381 537 34 20 1
133 495 29 20 1
608 447 30 20 1
596 504 20 20 1
1008 1116 25 20 1
191 1669 23 20 1
71 634 33 20 1
1883 48 28 20 1
982 882 24 20 1
1594 21 33 20 1
1736 962 24 20 1
1210 16 26 20 1
96 1600 30 20 1
556 290 28 20 1
297 1137 26 20 1
1207 1678 21 20 1
1675 1341 21 20 1
174 284 36 20 1
1788 771 37 20 1
789 797 39 20 1
1887 980 30 20 1
466 1958 25 20 1
1614 349 23 20 1
6 597 27 20 1
1232 1601 28 20 1
618 968 37 20 1
564 1828 33 20 1
985 660 35 20 1
1429 1542 27 20 1
951 1727 22 20 1
679 158 28 20 1
1406 355 22 20 1
1500 1580 32 20 1
640 1288 39 20 1
351 1429 22 20 1
85 239 37 20 1
409 552 23 20 1
197 24 36 20 1
902 204 26 20 1
621 134 27 20 1
1806 1240 29 20 1
1103 370 30 20 1
1069 89 34 20 1
1031 499 39 20 1
1631 1982 39 20 1
227 311 21 20 1
141 1633 20 20 1
666 1641 21 20 1
1213 1307 37 20 1
930 1565 37 20 1
736 1016 20 20 1
1804 1145 28 20 1
1568 2 23 20 1
1170 471 24 20 1
207 1792 35 20 1
606 13 32 20 1
1032 1709 21 20 1
383 102 29 20 1
1799 1415 28 20 1
601 1430 29 20 1
1397 828 32 20 1
1742 1539 36 20 1
462 408 31 20 1
1180 1676 24 20 1
1715 111 36 20 1
1241 452 33 20 1
1127 1046 21 20 1
1597 696 39 20 1
1048 768 29 20 1
1168 1256 27 20 1
560 1774 27 20 1
1269 1592 38 20 1
1484 1653 38 20 1
1695 1283 22 20 1
1068 297 38 20 1
713 466 37 20 1
1126 455 23 20 1
5 1588 38 20 1
864 1186 38 20 1
1264 580 21 20 1
1297 506 36 20 1
1032 425 39 20 1
1552 630 30 20 1
1122 601 20 20 1
1399 290 23 20 1
1858 1959 25 20 1
64 1127 32 20 1
1552 1548 25 20 1
781 1247 34 20 1
831 1850 20 20 1
1545 1545 34 20 1
316 671 27 20 1
1 322 37 20 1
260 866 25 20 1
1508 1524 31 20 1
1447 806 33 20 1
31 480 39 20 1
1232 1584 32 20 1
1111 354 32 20 1
186 510 28 20 1
644 44 20 20 1
469 709 39 20 1
1172 21 27 20 1
258 1953 38 20 1
1269 1090 21 20 1
1803 814 25 20 1
636 119 36 20 1
1485 637 25 20 1
441 1745 23 20 1
1504 1950 34 20 1
1270 951 27 20 1
756 1302 20 20 1
1432 1988 33 20 1
886 543 37 20 1
343 1072 20 20 1
1054 987 37 20 1
1117 1523 23 20 1
1697 289 32 20 1
1545 1955 22 20 1
242 815 38 20 1
1045 46 33 20 1
1629 1681 37 20 1
165 1115 25 20 1
319 607 30 20 1
861 1824 23 20 1
558 132 36 20 1
776 1314 24 20 1
1434 208 22 20 1
1303 320 29 20 1
752 1646 37 20 1
1393 1806 30 20 1
634 510 29 20 1
1330 332 37 20 1
800 876 38 20 1
287 1042 27 20 1
1691 1333 39 20 1
1088 1321 23 20 1
1015 1254 23 20 1
436 1335 24 20 1
1862 1298 27 20 1
1159 420 38 20 1
1430 1935 32 20 1
1735 864 27 20 1
144 1038 32 20 1
1185 897 30 20 1
685 578 27 20 1
703 1320 30 20 1
1089 34 33 20 1
1652 1889 20 20 1
911 1939 33 20 1
932 602 32 20 1
1273 21 33 20 1
1924 289 30 20 1
1275 361 37 20 1
1624 1138 24 20 1
1659 784 33 20 1
1558 1089 34 20 1
719 1293 29 20 1
1953 864 35 20 1
332 1138 23 20 1
1761 1017 26 20 1
1717 465 26 20 1
337 806 32 20 1
500 1989 23 20 1
696 1411 24 20 1
1929 1629 20 20 1
14 1203 22 20 1
1650 1938 28 20 1
1492 925 24 20 1
299 1116 27 20 1
64 1958 35 20 1
1900 1622 22 20 1
1048 620 20 20 1
915 1001 22 20 1
1484 1248 34 20 1
140 1246 30 20 1
265 1857 30 20 1
1711 603 24 20 1
664 211 24 20 1
593 1361 30 20 1
1623 522 37 20 1
990 1637 36 20 1
1726 640 24 20 1
1576 1218 28 20 1
1566 1875 34 20 1
335 1630 29 20 1
1834 235 21 20 1
1252 882 29 20 1
856 168 38 20 1
1884 341 37 20 1
1416 24 32 20 1
1587 1682 25 20 1
1882 1299 24 20 1
286 547 25 20 1
1510 879 28 20 1
1908 1134 29 20 1
1402 898 26 20 1
771 1128 31 20 1
1539 347 37 20 1
346 1105 30 20 1
223 681 39 20 1
736 58 33 20 1
917 1988 32 20 1
941 1773 39 20 1
157 825 35 20 1
115 1574 27 20 1
850 1702 30 20 1
1257 733 26 20 1
1002 1543 32 20 1
1280 513 34 20 1
422 1189 37 20 1
1647 1824 30 20 1
88 418 31 20 1
952 1627 21 20 1
766 1299 39 20 1
733 990 26 20 1
1981 1469 31 20 1
1048 898 20 20 1
1457 1989 35 20 1
672 1615 30 20 1
815 787 38 20 1
1190 1666 28 20 1
490 447 35 20 1
400 1492 22 20 1
1990 1681 34 20 1
5 413 24 20 1
870 1653 31 20 1
237 958 20 20 1
71 1190 36 20 1
586 838 29 20 1
489 1319 30 20 1
1828 471 35 20 1
788 876 22 20 1
1369 246 23 20 1
866 42 35 20 1
1861 1682 38 20 1
830 1051 31 20 1
1349 1320 25 20 1
1499 1749 24 20 1
813 1489 23 20 1
1430 819 20 20 1
1902 301 22 20 1
472 140 34 20 1
1259 544 32 20 1
1330 1845 24 20 1
1382 1820 33 20 1
1164 1211 38 20 1
291 1952 35 20 1
87 1661 34 20 1
199 954 34 20 1
1704 60 26 20 1
637 534 32 20 1
1112 1986 23 20 1
1855 612 21 20 1
1735 669 35 20 1
101 1166 37 20 1
1488 4 26 20 1
1467 1961 27 20 1
145 726 37 20 1
505 1476 22 20 1
572 1888 37 20 1
1297 1737 27 20 1
1099 1589 38 20 1
1690 1187 39 20 1
1250 1889 31 20 1
142 955 34 20 1
1950 779 38 20 1
1489 1063 22 20 1
765 1344 20 20 1
